,WELL_NAME,OBS,Latitude,Longitude,geometry
0,OBS1,1.2192,113335.47970000001,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4)
1,OBS2,1.524,112852.5421,197257.979669863,POINT Z (197257.979669863 112852.5421 5)
2,OBS3,0.3048,113365.6633,199591.28849863014,POINT Z (199591.28849863014 113365.6633 1)
3,OBS5,5.7912,114361.7221,195373.38407739726,POINT Z (195373.38407739726 114361.7221 19)
4,OBS6,1.8288,113486.3977,197676.77869041095,POINT Z (197676.77869041095 113486.3977 6)
5,OBS7,0.6096,113607.1321,199800.6880089041,POINT Z (199800.6880089041 113607.1321 2)
6,OBS8,0.3048,114754.1089,200668.20026575343,POINT Z (200668.20026575343 114754.1089 1)
7,OBS9,7.010400000000001,116263.2889,196001.58260821918,POINT Z (196001.58260821918 116263.2889 23)
8,OBS10,6.4008,115327.59730000001,196749.43800205478,POINT Z (196749.43800205478 115327.59730000001 21)
9,OBS11,0.6096,116082.1873,200398.9723239726,POINT Z (200398.9723239726 116082.1873 2)
10,OBS12,0.9144,116202.9217,201416.05565958904,POINT Z (201416.05565958904 116202.9217 3)
11,OBS13,7.62,116806.5937,195463.12672465752,POINT Z (195463.12672465752 116806.5937 25)
12,OBS14,5.486400000000001,116474.5741,196300.72476575343,POINT Z (196300.72476575343 116474.5741 18)
13,OBS15,2.1336,116565.1249,198604.11937876712,POINT Z (198604.11937876712 116565.1249 7)
14,OBS16,0.6096,116716.0429,201954.51154315067,POINT Z (201954.51154315067 116716.0429 2)
15,OBS17,1.2192,117772.46889999999,195911.8399609589,POINT Z (195911.8399609589 117772.46889999999 4)
16,OBS18,1.8288,117802.6525,197138.32280684932,POINT Z (197138.32280684932 117802.6525 6)
17,OBS19,0.9144,118436.50809999999,200010.08751917808,POINT Z (200010.08751917808 118436.50809999999 3)
18,OBS20,0.6096,117863.0197,201475.88409109588,POINT Z (201475.88409109588 117863.0197 2)
19,OBS4,6.7056,117017.8789,195313.55564589042,POINT Z (195313.55564589042 117017.8789 22)
